Image,Location name,ratings,comments,ratings(# reviews),location type
https://lh5.googleusercontent.com/p/AF1QipNZk0Vids7oJXzaLFnqDn4SzEI24AUbYO0vKgtV=w122-h92-k-no,Jurong West ActiveSG Sports Hall,4.4,badminton (i),4.4(191),Stadium 
https://lh5.googleusercontent.com/p/AF1QipPzIbDwId6jXOrIA8dv1SlXMGPN2O7rlzaqaRbY=w80-h106-k-no,Bedok ActiveSG Sports Hall,5,"gym (I)
badminton (I)",5.0(1),Sports complex 
https://lh5.googleusercontent.com/p/AF1QipMrsf_v8C-O6mPXdJSxvGfLgCfYnhRAuaQpKl3F=w163-h92-k-no,Woodlands ActiveSG Gym,4.3,gym (I),4.3(36),Gym and Fitness Centre 
https://lh5.googleusercontent.com/p/AF1QipMEK3DDUdbE-c2uWZP1IiVYJlx_NbQ1F1ep_VTL=w80-h142-k-no,Yishun ActiveSG Gym,4.1,"football (o)
running (o)
gym (i)",4.1(632),Gym and Fitness Centre 
https://lh5.googleusercontent.com/p/AF1QipMEgjFMUb2gdIl2TWm_1IpE9S4PAiTXzTcSWNde=w122-h92-k-no,Kallang Basin ActiveSG Swimming Complex,4,swimming (o),4.0(425),Swimming pool 
https://lh5.googleusercontent.com/p/AF1QipP4Y2sEaHmkAIcRWjf3tN-HpiaCgn7W8L_xizkk=w122-h92-k-no,Geylang East ActiveSG Swimming Complex,4.1,swimming (o),4.1(453),Swimming facility 
https://lh5.googleusercontent.com/p/AF1QipMyN2nhF7MOt3nLFCYGEqDtIvgxOMuUSMSVNW_Z=w122-h92-k-no,Woodlands Sports Centre (ActiveSG),4.1,"running (o)
football (O)
swimming (o)
gym (i)","4.1(2,022)",Sports complex 
https://lh5.googleusercontent.com/p/AF1QipOY2SjfxW6Tnfa3ycHMRrN8zUM7qwHaGAmkY71G=w163-h92-k-no,Clementi ActiveSG Swimming Complex,4.2,swimming (o),4.2(517),Swimming pool 
https://lh5.googleusercontent.com/p/AF1QipOu8h4qhZpRYsFqm60MsG7vWvkK-2NgKF21NPyx=w122-h92-k-no,Choa Chu Kang ActiveSG Sports Centre,4.1,"badminton(i)
swimming (o)",4.1(791),Sports complex 
https://lh5.googleusercontent.com/p/AF1QipO6xwZBoYPPw4Az-KpU01xr6z_0OEhqM4C06xxg=w164-h92-k-no,Tampines ActiveSG Gym,4.1,gym(i),4.1(190),Gym and Fitness Centre 
https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fyrr5UOlI3Wk-BFgmWrg1w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=165.28229&pitch=0&thumbfov=100,Bedok ActiveSG Gym,3.5,gym(i),3.5(13),Sports complex 
https://lh5.googleusercontent.com/p/AF1QipP4HWbCH847RHGDxbscu4KiQsPY51j7pfgXNYe5=w163-h92-k-no,Jurong West ActiveSG Stadium,4.7,"running (O)
football (O)",4.7(72),Stadium 
https://lh5.googleusercontent.com/p/AF1QipPtgYX2wE6tfy0Ldzx4N5N7N9ZSkquZ3Z8tYNBn=w122-h92-k-no,ActiveSG Gym at Fernvale Square,4.4,gym(i),4.4(80),Gym and Fitness Centre 
https://lh5.googleusercontent.com/p/AF1QipMoaKOLT1IP66socQugusE9oPShUOhTF1oG4aNx=w122-h92-k-no,Woodlands Botanical Garden,4.8,Running (O),4.8(37),Botanical garden 
